"","Parameter","SA.BMadult","SA.BMemb","SA.BMwean","SA.age1stbirth","SA.LpY","SA.LSb","SA.dens"
"growth-lm-prob-mid*","growth-lm-prob-mid*",24.7591963910625,1.62216225672533,2.6693239381224,17.0143249296451,35.4632274296539,7.67011893382688,25.9995181490456
"growth-lm-inf","growth-lm-inf",40.0279667662663,3.57880392661814,11.0571846742016,24.4107219821419,56.0071321617464,9.72189681801384,25.6304143766142
"growth-lm-k","growth-lm-k",21.7974725587784,3.29914416700317,18.9033858785067,28.4571206653503,47.0738900385165,13.8894419976891,18.5906422147368
"stomach-fill-perc","stomach-fill-perc",35.3028226457046,7.61022033732198,9.96131239559829,27.6823091088284,31.961878263599,15.3860351304696,23.9943012021871
"AE-food","AE-food",30.3003521655544,13.52388269857,8.27614261250786,23.7881982480081,64.3409336631702,15.7793502361085,36.0051256535044
"HIF","HIF",29.1582372410593,15.7545337117032,19.7208873574779,29.1692801370779,59.8268337124223,12.3092041370923,25.7289845081413
"DM-food","DM-food",16.1029114818124,3.4439622093607,8.03452978019432,25.9659242864461,51.8120597960524,12.6780751835193,20.976499085686
"ED-food","ED-food",17.6501099531644,2.71707996073247,4.11659221347737,16.8099942687471,30.0789163035909,7.33547145784874,35.5720398987751
"ED-fat","ED-fat",28.7064986746595,1.7822742140849,6.79579671658595,24.2880762694346,64.4241095933466,11.9403805084452,28.2805104280825
"EC-pro","EC-pro",38.8997108547933,6.96893370727766,6.93738707922328,30.0226036389751,77.3824759490818,17.8955375873293,23.2911664280277
"gamma-mobilize","gamma-mobilize",12.5659175538636,1.34144872764138,1.64072894564932,19.732625775015,49.0070264924157,4.45684467308083,23.9619477915476
"perc-water-adi","perc-water-adi",19.8821801983399,11.9411406581249,8.84075414150349,32.5393859784944,57.0786327191221,16.2534410324573,21.8353957974329
"max-SL","max-SL",33.68479263004,11.1805735027521,15.5709238447419,42.3133068099668,78.4035840906698,23.6239978029166,33.069408202586
"t-mating-start","t-mating-start",34.439143530684,6.29109287108482,8.18871961377729,53.3207734773176,72.1865167139641,29.1529522945384,20.7411246655305
"t-mating-end","t-mating-end",28.6664376209602,3.35404211105359,5.64346368756551,66.3561367164203,43.3383916028471,10.3000263927621,33.7931625017434
"t-mature","t-mature",6.99699220231396,2.48565659188509,3.28966312713208,29.5802429572825,47.5386956822816,14.163518123159,21.8308981318398
"prob-ovul","prob-ovul",16.4352122668894,1.37107006963172,2.40277760059896,11.9966342118365,34.7918475967923,5.12858526657773,22.1103006176651
"t-0","t-0",15.8528916240743,8.24462846182116,11.0405354273581,24.2865620957024,45.0000996268098,13.4972882326575,21.4422940758261
"t-gest","t-gest",30.8356001339542,67.4041960425069,27.0795768396643,21.4208283393503,56.8480506738095,5.58709620684866,21.4627960232251
"t-nurs","t-nurs",10.7325281338778,4.73434571392765,18.2104204959623,34.9163572209408,73.6305960646402,17.0032475828015,24.6117112871495
"t-max-age","t-max-age",31.1514295005657,7.4138256572845,4.46356934537571,45.8810127216313,65.9643646853636,19.6462424657331,25.5399307195756
"surv-prob-const*","surv-prob-const*",13.5482021576431,1.55196360302972,3.5234468347986,26.7830788333932,75.3476550930829,11.4735809440234,29.2381850104419
"surv-prob-mid*","surv-prob-mid*",11.4473448469436,2.79623901153255,2.29989814775319,29.1083373618701,34.887044245859,9.63643197205955,21.0425499672284
"surv-mod-emb*","surv-mod-emb*",15.4264469137515,9.70882880732051,6.27131395574864,21.3058062933304,50.0995564871611,11.3300346607339,17.575546955182
"surv-mod-off*","surv-mod-off*",8.31283132540227,1.99966861288542,3.452681600848,14.2501426272979,50.202527722207,5.98193667709875,16.4118359148122
"winter-surv-mid","winter-surv-mid",14.0799931441089,5.19020160335526,7.1059904108358,31.4138058082216,29.9188898092963,8.60628297033042,28.3888909845662
