site,model,experiment,floor_date,NDVI,year
Evenstad,EC-Earth3-CC,ssp245,2039-04-01,0.32477450056724383,2039
Evenstad,EC-Earth3-CC,ssp245,2039-05-01,0.4103704380951343,2039
Evenstad,EC-Earth3-CC,ssp245,2039-06-01,0.7558784034372518,2039
Evenstad,EC-Earth3-CC,ssp245,2039-07-01,0.7228755347547232,2039
Evenstad,EC-Earth3-CC,ssp245,2039-08-01,0.7144957549745754,2039
Evenstad,EC-Earth3-CC,ssp245,2039-09-01,0.5846248595081093,2039
Evenstad,EC-Earth3-CC,ssp245,2039-10-01,0.42440387026635507,2039
Evenstad,EC-Earth3-CC,ssp245,2099-04-01,0.413889720061072,2099
Evenstad,EC-Earth3-CC,ssp245,2099-05-01,0.5259543746688236,2099
Evenstad,EC-Earth3-CC,ssp245,2099-06-01,0.7134274007992818,2099
Evenstad,EC-Earth3-CC,ssp245,2099-07-01,0.8901695924476092,2099
Evenstad,EC-Earth3-CC,ssp245,2099-08-01,0.7627711193866975,2099
Evenstad,EC-Earth3-CC,ssp245,2099-09-01,0.6989991486822141,2099
Evenstad,EC-Earth3-CC,ssp245,2099-10-01,0.5211482942029088,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2022-04-01,0.5206641975308642,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-05-01,0.648241975308642,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-06-01,0.5690604938271604,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-07-01,0.5275111111111113,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-08-01,0.46636481481481484,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-09-01,0.5852580246913581,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2022-10-01,0.6344271604938272,2022
Havelaue,AWI-CM-1-1-MR,ssp245,2039-04-01,0.5013682350425873,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-05-01,0.5446895569598058,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-06-01,0.5867709940053688,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-07-01,0.6031628666451004,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-08-01,0.5918672393577554,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-09-01,0.5808066994003954,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2039-10-01,0.542860497294464,2039
Havelaue,AWI-CM-1-1-MR,ssp245,2099-04-01,0.46271288997568033,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-05-01,0.5443229189208072,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-06-01,0.5811173027336612,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-07-01,0.6184409546328588,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-08-01,0.6318073032407363,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-09-01,0.5901037244347476,2099
Havelaue,AWI-CM-1-1-MR,ssp245,2099-10-01,0.5295750396366666,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2022-04-01,0.5206641975308642,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-05-01,0.648241975308642,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-06-01,0.5690604938271604,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-07-01,0.5275111111111113,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-08-01,0.46636481481481484,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-09-01,0.5852580246913581,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2022-10-01,0.6344271604938272,2022
Havelaue,CNRM-CM6-1-HR,ssp245,2039-04-01,0.5315910913918676,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-05-01,0.5700304912180709,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-06-01,0.6013773492355529,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-07-01,0.6080480302459143,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-08-01,0.6296712919258668,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-09-01,0.5806331682195784,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2039-10-01,0.5512169741708434,2039
Havelaue,CNRM-CM6-1-HR,ssp245,2099-04-01,0.5480625866746484,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-05-01,0.5655503989778969,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-06-01,0.6196763431895731,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-07-01,0.6429146393776765,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-08-01,0.6520937142298323,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-09-01,0.6013401507007967,2099
Havelaue,CNRM-CM6-1-HR,ssp245,2099-10-01,0.5715393793100967,2099
Havelaue,EC-Earth3-CC,ssp245,2022-04-01,0.5206641975308642,2022
Havelaue,EC-Earth3-CC,ssp245,2022-05-01,0.648241975308642,2022
Havelaue,EC-Earth3-CC,ssp245,2022-06-01,0.5690604938271604,2022
Havelaue,EC-Earth3-CC,ssp245,2022-07-01,0.5275111111111113,2022
Havelaue,EC-Earth3-CC,ssp245,2022-08-01,0.46636481481481484,2022
Havelaue,EC-Earth3-CC,ssp245,2022-09-01,0.5852580246913581,2022
Havelaue,EC-Earth3-CC,ssp245,2022-10-01,0.6344271604938272,2022
Havelaue,EC-Earth3-CC,ssp245,2039-04-01,0.5296058889330892,2039
Havelaue,EC-Earth3-CC,ssp245,2039-05-01,0.5590035104221286,2039
Havelaue,EC-Earth3-CC,ssp245,2039-06-01,0.589799341648206,2039
Havelaue,EC-Earth3-CC,ssp245,2039-07-01,0.615340984653829,2039
Havelaue,EC-Earth3-CC,ssp245,2039-08-01,0.6179215729786658,2039
Havelaue,EC-Earth3-CC,ssp245,2039-09-01,0.6040259859592663,2039
Havelaue,EC-Earth3-CC,ssp245,2039-10-01,0.5497645122928443,2039
Havelaue,EC-Earth3-CC,ssp245,2099-04-01,0.5486889877413418,2099
Havelaue,EC-Earth3-CC,ssp245,2099-05-01,0.5745108160437733,2099
Havelaue,EC-Earth3-CC,ssp245,2099-06-01,0.6256843107823834,2099
Havelaue,EC-Earth3-CC,ssp245,2099-07-01,0.6433605795492852,2099
Havelaue,EC-Earth3-CC,ssp245,2099-08-01,0.6254739772397289,2099
Havelaue,EC-Earth3-CC,ssp245,2099-09-01,0.614300483218937,2099
Havelaue,EC-Earth3-CC,ssp245,2099-10-01,0.5692299187503409,2099
Bielowieza,AWI-CM-1-1-MR,ssp245,2022-04-01,0.5795432098765432,2022
