[0.19 ,  62 ,  3]
[0.2 ,  62 ,  3]
[0.19 ,  62 ,  3]
[0.18 ,  62 ,  3]
[0.19 ,  62 ,  3]
[0.18 ,  62 ,  3]
[0.18 ,  62 ,  3]
[0.19 ,  62 ,  3]
[0.18 ,  63 ,  3]
[0.19 ,  63 ,  3]
[0.18 ,  63 ,  3]
[0.18 ,  63 ,  3]
[0.19 ,  63 ,  3]
[0.19 ,  63 ,  3]
[0.19 ,  63 ,  3]
[0.19 ,  63 ,  3]
[0.2 ,  63 ,  3]
[0.2 ,  63 ,  3]
[0.19 ,  64 ,  3]
[0.18 ,  64 ,  3]
[0.18 ,  64 ,  3]
[0.19 ,  64 ,  3]
[0.19 ,  64 ,  3]
[0.19 ,  64 ,  3]
[0.18 ,  64 ,  3]
[0.19 ,  64 ,  3]
[0.18 ,  64 ,  3]
[0.18 ,  64 ,  3]
[0.18 ,  65 ,  3]
[0.18 ,  65 ,  3]
[0.19 ,  65 ,  3]
[0.19 ,  65 ,  3]
[0.18 ,  65 ,  3]
[0.19 ,  65 ,  3]
[0.18 ,  65 ,  3]
[0.19 ,  65 ,  3]
[0.18 ,  65 ,  3]
[0.19 ,  65 ,  3]
[0.19 ,  66 ,  3]
[0.18 ,  66 ,  3]
[0.19 ,  66 ,  3]
[0.18 ,  66 ,  3]
[0.19 ,  66 ,  3]
[0.19 ,  66 ,  3]
[0.19 ,  66 ,  3]
[0.19 ,  66 ,  3]
[0.18 ,  66 ,  3]
[0.18 ,  66 ,  3]
[0.19 ,  67 ,  3]
[0.19 ,  67 ,  3]
[0.19 ,  67 ,  3]
[0.18 ,  67 ,  3]
[0.19 ,  67 ,  3]
[0.19 ,  67 ,  3]
[0.18 ,  67 ,  3]
[0.18 ,  67 ,  3]
[0.19 ,  67 ,  3]
[0.18 ,  67 ,  3]
[0.18 ,  68 ,  3]
[0.18 ,  68 ,  3]
[0.18 ,  68 ,  3]
[0.18 ,  68 ,  3]
[0.18 ,  68 ,  3]
[0.2 ,  68 ,  3]
[0.19 ,  68 ,  3]
[0.19 ,  68 ,  3]
[0.2 ,  68 ,  3]
[0.19 ,  68 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.18 ,  69 ,  3]
[0.18 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.19 ,  69 ,  3]
[0.18 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.18 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.18 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.19 ,  70 ,  3]
[0.18 ,  71 ,  3]
[0.18 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.19 ,  71 ,  3]
[0.18 ,  71 ,  3]
[0.19 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.18 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.2 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.18 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.19 ,  72 ,  3]
[0.19 ,  73 ,  3]
[0.2 ,  73 ,  3]
[0.19 ,  73 ,  3]
[0.18 ,  73 ,  3]
[0.18 ,  73 ,  3]
[0.19 ,  73 ,  3]
[0.18 ,  73 ,  3]
[0.19 ,  73 ,  3]
[0.19 ,  73 ,  3]
[0.18 ,  73 ,  3]
[0.19 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.2 ,  74 ,  3]
[0.19 ,  74 ,  3]
[0.18 ,  74 ,  3]
[0.18 ,  74 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.19 ,  75 ,  3]
[0.2 ,  75 ,  3]
[0.18 ,  75 ,  3]
[0.19 ,  76 ,  3]
[0.19 ,  76 ,  3]
[0.18 ,  76 ,  3]
[0.19 ,  76 ,  3]
[0.19 ,  76 ,  3]
[0.2 ,  76 ,  3]
[0.19 ,  76 ,  3]
[0.2 ,  76 ,  3]
[0.2 ,  76 ,  3]
[0.2 ,  76 ,  3]
[0.19 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.2 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.2 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.19 ,  77 ,  3]
[0.2 ,  77 ,  3]
[0.19 ,  78 ,  3]
[0.2 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.2 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.2 ,  78 ,  3]
[0.19 ,  78 ,  3]
[0.2 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.2 ,  79 ,  3]
[0.2 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.19 ,  79 ,  3]
[0.2 ,  80 ,  3]
[0.18 ,  80 ,  3]
[0.19 ,  80 ,  3]
[0.2 ,  80 ,  3]
[0.2 ,  80 ,  3]
[0.19 ,  80 ,  3]
[0.19 ,  80 ,  3]
[0.2 ,  80 ,  3]
[0.19 ,  80 ,  3]
[0.2 ,  80 ,  3]
[0.2 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.19 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.19 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.2 ,  81 ,  3]
[0.19 ,  81 ,  3]
[0.19 ,  82 ,  3]
[0.2 ,  82 ,  3]
[0.2 ,  82 ,  3]
[0.19 ,  82 ,  3]
[0.19 ,  82 ,  3]
[0.19 ,  82 ,  3]
[0.2 ,  82 ,  3]
[0.19 ,  82 ,  3]
[0.2 ,  82 ,  3]
[0.2 ,  82 ,  3]
[0.2 ,  83 ,  3]
[0.2 ,  83 ,  3]
[0.19 ,  83 ,  3]
[0.2 ,  83 ,  3]
[0.19 ,  83 ,  3]
[0.2 ,  83 ,  3]
[0.19 ,  83 ,  3]
[0.19 ,  83 ,  3]
[0.2 ,  83 ,  3]
[0.19 ,  83 ,  3]
[0.2 ,  84 ,  3]
[0.2 ,  84 ,  3]
[0.19 ,  84 ,  3]
[0.2 ,  84 ,  3]
[0.2 ,  84 ,  3]
[0.19 ,  84 ,  3]
[0.19 ,  84 ,  3]
[0.2 ,  84 ,  3]
[0.19 ,  84 ,  3]
[0.19 ,  84 ,  3]
[0.19 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.19 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.21 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.2 ,  85 ,  3]
[0.2 ,  86 ,  3]
[0.19 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.19 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  86 ,  3]
[0.2 ,  87 ,  3]
[0.19 ,  87 ,  3]
[0.19 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.19 ,  87 ,  3]
[0.2 ,  87 ,  3]
[0.19 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.21 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.2 ,  88 ,  3]
[0.21 ,  88 ,  3]
[0.2 ,  89 ,  3]
[0.2 ,  89 ,  3]
[0.2 ,  89 ,  3]
[0.21 ,  89 ,  3]
[0.19 ,  89 ,  3]
[0.19 ,  89 ,  3]
[0.2 ,  89 ,  3]
[0.2 ,  89 ,  3]
[0.21 ,  89 ,  3]
[0.2 ,  89 ,  3]
[0.19 ,  90 ,  3]
[0.19 ,  90 ,  3]
[0.21 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.19 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.2 ,  90 ,  3]
[0.2 ,  91 ,  3]
[0.21 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.21 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.19 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.2 ,  91 ,  3]
[0.21 ,  92 ,  3]
[0.21 ,  92 ,  3]
[0.2 ,  92 ,  3]
[0.2 ,  92 ,  3]
[0.19 ,  92 ,  3]
[0.2 ,  92 ,  3]
[0.21 ,  92 ,  3]
[0.2 ,  92 ,  3]
[0.21 ,  92 ,  3]
[0.2 ,  92 ,  3]
[0.21 ,  93 ,  3]
[0.19 ,  93 ,  3]
[0.2 ,  93 ,  3]
[0.2 ,  93 ,  3]
[0.2 ,  93 ,  3]
[0.19 ,  93 ,  3]
[0.21 ,  93 ,  3]
[0.21 ,  93 ,  3]
[0.2 ,  93 ,  3]
[0.2 ,  93 ,  3]
[0.2 ,  94 ,  3]
[0.2 ,  94 ,  3]
[0.19 ,  94 ,  3]
[0.2 ,  94 ,  3]
[0.21 ,  94 ,  3]
[0.21 ,  94 ,  3]
[0.2 ,  94 ,  3]
[0.2 ,  94 ,  3]
[0.21 ,  94 ,  3]
[0.2 ,  94 ,  3]
[0.2 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.2 ,  95 ,  3]
[0.2 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.21 ,  95 ,  3]
[0.2 ,  95 ,  3]
[0.2 ,  96 ,  3]
[0.21 ,  96 ,  3]
[0.21 ,  96 ,  3]
[0.21 ,  96 ,  3]
[0.2 ,  96 ,  3]
[0.21 ,  96 ,  3]
[0.2 ,  96 ,  3]
[0.2 ,  96 ,  3]
[0.2 ,  96 ,  3]
[0.2 ,  96 ,  3]
[0.21 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.2 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.2 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.21 ,  97 ,  3]
[0.2 ,  97 ,  3]
[0.2 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.2 ,  98 ,  3]
[0.2 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.2 ,  98 ,  3]
[0.21 ,  98 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.2 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.21 ,  99 ,  3]
[0.2 ,  99 ,  3]
[0.21 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.2 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.2 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.2 ,  100 ,  3]
[0.21 ,  100 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.21 ,  101 ,  3]
[0.2 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.2 ,  102 ,  3]
[0.21 ,  102 ,  3]
[0.2 ,  102 ,  3]
